TransactionID,Date,ProductName,Category,Region,SalesChannel,Quantity,UnitPrice,TotalAmount,PaymentMode,CustomerID
TXN0042452,2024-01-01,T-Shirt,Clothing,North,Online,3,2013.27,6039.81,Cash,CUST05966
TXN0005680,2024-01-01,Bluetooth Speaker,Electronics,West,Online,4,16603.93,66415.72,UPI,CUST11289
TXN0036003,2024-01-01,Sunscreen,Beauty & Personal Care,East,Online,3,181.08,543.24,Net Banking,CUST07031
TXN0027423,2024-01-01,Coffee Jar,Groceries,West,Offline,5,721.54,3607.7,Net Banking,CUST11027
TXN0015381,2024-01-01,Vacuum Cleaner,Home & Kitchen,South,Offline,1,1015.76,1015.76,Credit Card,CUST02513
TXN0047044,2024-01-01,Bedsheet Set,Home & Kitchen,North,Online,1,3252.4,3252.4,UPI,CUST06168
TXN0033063,2024-01-01,Pen Set,Books & Stationery,East,Online,1,128.86,128.86,Net Banking,CUST10116
TXN0018230,2024-01-01,Dress,Clothing,East,Offline,3,885.76,2657.28,UPI,CUST09945
TXN0008956,2024-01-01,Bedsheet Set,Home & Kitchen,North,Offline,1,3885.78,3885.78,Credit Card,CUST03701
TXN0036230,2024-01-01,Tea Powder,Groceries,East,Online,1,898.44,898.44,Credit Card,CUST08066
TXN0009325,2024-01-01,Pressure Cooker,Home & Kitchen,South,Offline,5,3021.1,15105.5,Net Banking,CUST06825
TXN0034394,2024-01-01,Mixer Grinder,Home & Kitchen,North,Online,2,6502.1,13004.2,UPI,CUST10735
TXN0024812,2024-01-01,Lotion,Beauty & Personal Care,North,Offline,4,395.44,1581.76,Credit Card,CUST10287
TXN0029056,2024-01-01,Formal Shirt,Clothing,West,Online,2,582.32,1164.64,Credit Card,CUST09282
TXN0023700,2024-01-01,Sunscreen,Beauty & Personal Care,East,Online,3,184.49,553.47,UPI,CUST06877
TXN0024127,2024-01-01,Mixer Grinder,Home & Kitchen,East,Online,1,441.84,441.84,Credit Card,CUST07811
TXN0012094,2024-01-01,Dumbbell Set,Sports & Fitness,East,Offline,1,4820.67,4820.67,Cash,CUST10337
TXN0005390,2024-01-01,Rice 5kg,Groceries,West,Online,1,187.9,187.9,Net Banking,CUST10598
TXN0048110,2024-01-01,Formal Shirt,Clothing,North,Online,1,3261.57,3261.57,Credit Card,CUST08056
TXN0025002,2024-01-01,Jacket,Clothing,West,Offline,2,1173.05,2346.1,UPI,CUST01789
TXN0019493,2024-01-01,Bedsheet Set,Home & Kitchen,South,Online,2,7237.61,14475.22,UPI,CUST10038
TXN0019486,2024-01-01,Mixer Grinder,Home & Kitchen,North,Offline,2,640.03,1280.06,UPI,CUST06066
TXN0048380,2024-01-01,Headphones,Electronics,West,Online,2,39865.37,79730.74,Net Banking,CUST01178
TXN0010758,2024-01-01,Coffee Jar,Groceries,North,Online,2,130.48,260.96,UPI,CUST11274
TXN0047358,2024-01-01,Cricket Bat,Sports & Fitness,West,Offline,4,4186.01,16744.04,UPI,CUST01211
TXN0014118,2024-01-01,Pressure Cooker,Home & Kitchen,West,Offline,1,6236.63,6236.63,Credit Card,CUST10758
TXN0038925,2024-01-01,Mixer Grinder,Home & Kitchen,South,Online,2,5582.54,11165.08,Cash,CUST00693
TXN0017336,2024-01-01,Sketchbook,Books & Stationery,East,Online,3,670.32,2010.96,UPI,CUST08943
TXN0026925,2024-01-01,Tablet,Electronics,East,Offline,4,48336.66,193346.64,Cash,CUST09723
TXN0021744,2024-01-01,Spices Pack,Groceries,West,Offline,5,336.6,1683.0,UPI,CUST07894
TXN0020033,2024-01-01,Sugar 1kg,Groceries,West,Online,2,858.31,1716.62,Cash,CUST09051
TXN0032696,2024-01-01,Cycling Helmet,Sports & Fitness,North,Offline,3,421.52,1264.56,Cash,CUST03014
TXN0025883,2024-01-01,Pressure Cooker,Home & Kitchen,East,Online,3,6280.59,18841.77,UPI,CUST03904
TXN0002266,2024-01-02,Smartwatch,Electronics,North,Offline,2,11205.73,22411.46,Credit Card,CUST11910
TXN0046094,2024-01-02,Sneakers,Clothing,North,Online,1,1227.25,1227.25,UPI,CUST10497
TXN0011078,2024-01-02,Bluetooth Speaker,Electronics,South,Offline,1,4565.81,4565.81,UPI,CUST01084
TXN0034877,2024-01-02,Sneakers,Clothing,East,Online,1,3957.24,3957.24,Cash,CUST01028
TXN0028940,2024-01-02,Tea Powder,Groceries,South,Offline,2,150.9,301.8,Net Banking,CUST11796
TXN0023111,2024-01-02,Sketchbook,Books & Stationery,East,Online,2,193.94,387.88,Credit Card,CUST00611
TXN0040361,2024-01-02,Coffee Jar,Groceries,North,Offline,5,672.29,3361.45,Credit Card,CUST02080
